INCIDENT_ID,INC209R_IDENTIFIER,REPORT_TO_DATE,CURRENT_THREAT_12,CURRENT_THREAT_24,CURRENT_THREAT_48,CURRENT_THREAT_72,CURRENT_THREAT_GT72,CURRENT_THREAT_NARR,STR_THREATENED_RES,STR_THREATENED,STR_DESTROYED,LIFE_SAFETY_HEALTH_STATUS_NARR,PCT_CONTAINED_COMPLETED,unrepeated_CURRENT_THREAT_12,unrepeated_CURRENT_THREAT_24,unrepeated_CURRENT_THREAT_48,unrepeated_CURRENT_THREAT_72,unrepeated_CURRENT_THREAT_GT72,last_reported
2021_12993824_DIXIE,12994002,2021-07-14 15:30:00,community of pulga. major pg&e transmission lines damaged and threated. pg&e transmission lines that provide power to approximately 11 million customers. union pacific railroad is threatened.,Communities of Pulga and Concow if down canyon winds materialize. PG&E transmission lines that provide power to approximately 11 Million customers. Union Pacific Railroad is threatened. Fire has entered and continues to burn  Sierra Pacific Company timberland  ,Communities of Pulga and Concow if down canyon winds materialize. PG&E transmission lines that provide power to approximately 11 Million customers. Union Pacific Railroad is threatened. Fire has entered and continues to burn  Sierra Pacific Company timberland   ,Communities of Pulga and Concow if down canyon winds materialize. PG&E transmission lines that provide power to approximately 11 Million customers. Union Pacific Railroad is threatened. Fire has entered and continues to burn  Sierra Pacific Company timberland  ,Higher heat and consistent winds throughout the week will add to potential fire growth.,community of pulga. major pg&e transmission lines damaged and threated. pg&e transmission lines that provide power to approximately 11 million customers. union pacific railroad is threatened.|higher heat and consistent winds throughout the week will add to potential fire growth.|communities of pulga and concow if down canyon winds materialize. pg&e transmission lines that provide power to approximately 11 million customers. union pacific railroad is threatened. fire has entered and continues to burn  sierra pacific company timberland,0.0,0.0,0.0,evacuation warning in place for the community of pulga.,0.0,community of pulga. major pg&e transmission lines damaged and threated. pg&e transmission lines that provide power to approximately 11 million customers. union pacific railroad is threatened.,Communities of Pulga and Concow if down canyon winds materialize. PG&E transmission lines that provide power to approximately 11 Million customers. Union Pacific Railroad is threatened. Fire has entered and continues to burn  Sierra Pacific Company timberland  ,Communities of Pulga and Concow if down canyon winds materialize. PG&E transmission lines that provide power to approximately 11 Million customers. Union Pacific Railroad is threatened. Fire has entered and continues to burn  Sierra Pacific Company timberland   ,Communities of Pulga and Concow if down canyon winds materialize. PG&E transmission lines that provide power to approximately 11 Million customers. Union Pacific Railroad is threatened. Fire has entered and continues to burn  Sierra Pacific Company timberland  ,Higher heat and consistent winds throughout the week will add to potential fire growth.,
2021_12993824_DIXIE,12993825,2021-07-15 07:45:00,community of pulga. major pg&e transmission lines damaged and threated. pg&e transmission lines that provide power to approximately 11 million customers. union pacific railroad is threatened.,Communities of Pulga and Concow if down canyon winds materialize. PG&E transmission lines that provide power to approximately 11 Million customers. Union Pacific Railroad is threatened. Fire has entered and continues to burn  Sierra Pacific Company timberland  ,Communities of Pulga and Concow if down canyon winds materialize. PG&E transmission lines that provide power to approximately 11 Million customers. Union Pacific Railroad is threatened. Fire has entered and continues to burn  Sierra Pacific Company timberland   ,Communities of Pulga and Concow if down canyon winds materialize. PG&E transmission lines that provide power to approximately 11 Million customers. Union Pacific Railroad is threatened. Fire has entered and continues to burn  Sierra Pacific Company timberland  ,Higher heat and consistent winds throughout the week will add to potential fire growth.,community of pulga. major pg&e transmission lines damaged and threated. pg&e transmission lines that provide power to approximately 11 million customers. union pacific railroad is threatened.|higher heat and consistent winds throughout the week will add to potential fire growth.|communities of pulga and concow if down canyon winds materialize. pg&e transmission lines that provide power to approximately 11 million customers. union pacific railroad is threatened. fire has entered and continues to burn  sierra pacific company timberland,0.0,0.0,0.0,evacuation warning in place for the community of pulga.,0.0,same,same,same,same,same,16.25
2021_12993824_DIXIE,12994058,2021-07-15 19:00:00,"communities of pulga, philbrook and high lakes area. major pg&e transmission lines damaged and threatened. impacts to pg&e transmission lines could stress power distribution to a large portion of northern california. pg&e hydro electric power facilities, union pacific railroad, sierra pacific timberland, feather river canyon watershed and pacific crest trail threatened.","Communities of Pulga, Philbrook and High Lakes area. Major PG&E transmission lines damaged and threatened. Impacts to PG&E transmission lines could stress power distribution to a large portion of Northern California. PG&E hydro electric power facilities, Union Pacific Railroad, Sierra Pacific timberland, Feather River Canyon Watershed and Pacific Crest Trail threatened.","Communities of Pulga, Philbrook and High Lakes area. Major PG&E transmission lines damaged and threatened. Impacts to PG&E transmission lines could stress power distribution to a large portion of Northern California. PG&E hydro electric power facilities, Union Pacific Railroad, Sierra Pacific timberland, Feather River Canyon Watershed and Pacific Crest Trail threatened. ","Communities of Pulga, Philbrook and High Lakes area. Major PG&E transmission lines damaged and threatened. Impacts to PG&E transmission lines could stress power distribution to a large portion of Northern California. PG&E hydro electric power facilities, Union Pacific Railroad, Sierra Pacific timberland, Feather River Canyon Watershed and Pacific Crest Trail threatened.",Higher heat and consistent winds throughout the week will add to potential fire growth.,"higher heat and consistent winds throughout the week will add to potential fire growth.|communities of pulga, philbrook and high lakes area. major pg&e transmission lines damaged and threatened. impacts to pg&e transmission lines could stress power distribution to a large portion of northern california. pg&e hydro electric power facilities, union pacific railroad, sierra pacific timberland, feather river canyon watershed and pacific crest trail threatened.",0.0,0.0,0.0,"evacuation warning in place for the communities of pulga, philbrook and the high lakes area.",7.0,"communities of pulga, philbrook and high lakes area. major pg&e transmission lines damaged and threatened. impacts to pg&e transmission lines could stress power distribution to a large portion of northern california. pg&e hydro electric power facilities, union pacific railroad, sierra pacific timberland, feather river canyon watershed and pacific crest trail threatened.","Communities of Pulga, Philbrook and High Lakes area. Major PG&E transmission lines damaged and threatened. Impacts to PG&E transmission lines could stress power distribution to a large portion of Northern California. PG&E hydro electric power facilities, Union Pacific Railroad, Sierra Pacific timberland, Feather River Canyon Watershed and Pacific Crest Trail threatened.","Communities of Pulga, Philbrook and High Lakes area. Major PG&E transmission lines damaged and threatened. Impacts to PG&E transmission lines could stress power distribution to a large portion of Northern California. PG&E hydro electric power facilities, Union Pacific Railroad, Sierra Pacific timberland, Feather River Canyon Watershed and Pacific Crest Trail threatened. ","Communities of Pulga, Philbrook and High Lakes area. Major PG&E transmission lines damaged and threatened. Impacts to PG&E transmission lines could stress power distribution to a large portion of Northern California. PG&E hydro electric power facilities, Union Pacific Railroad, Sierra Pacific timberland, Feather River Canyon Watershed and Pacific Crest Trail threatened.",same,11.25
2021_12993824_DIXIE,12994198,2021-07-16 07:15:00,"communities of pulga, philbrook and high lakes area. major pg&e transmission lines damaged and threatened. impacts to pg&e transmission lines could stress power distribution to a large portion of northern california. pg&e hydro electric power facilities, union pacific railroad, sierra pacific timberland, feather river canyon watershed and pacific crest trail threatened.","Communities of Pulga, Philbrook and High Lakes area. Major PG&E transmission lines damaged and threatened. Impacts to PG&E transmission lines could stress power distribution to a large portion of Northern California. PG&E hydro electric power facilities, Union Pacific Railroad, Sierra Pacific timberland, Feather River Canyon Watershed and Pacific Crest Trail threatened.","Communities of Pulga, Philbrook and High Lakes area. Major PG&E transmission lines damaged and threatened. Impacts to PG&E transmission lines could stress power distribution to a large portion of Northern California. PG&E hydro electric power facilities, Union Pacific Railroad, Sierra Pacific timberland, Feather River Canyon Watershed and Pacific Crest Trail threatened. ","Communities of Pulga, Philbrook and High Lakes area. Major PG&E transmission lines damaged and threatened. Impacts to PG&E transmission lines could stress power distribution to a large portion of Northern California. PG&E hydro electric power facilities, Union Pacific Railroad, Sierra Pacific timberland, Feather River Canyon Watershed and Pacific Crest Trail threatened.",Higher heat and consistent winds throughout the week will add to potential fire growth.,"higher heat and consistent winds throughout the week will add to potential fire growth.|communities of pulga, philbrook and high lakes area. major pg&e transmission lines damaged and threatened. impacts to pg&e transmission lines could stress power distribution to a large portion of northern california. pg&e hydro electric power facilities, union pacific railroad, sierra pacific timberland, feather river canyon watershed and pacific crest trail threatened.",0.0,0.0,0.0,"evacuation warning in place for the communities of pulga, philbrook, snaglake, chambers creek, rodgers flat, belden, and high lakes area. evacuation orders: high lakes area, storrie, tobin, rock crest.",7.0,same,same,same,same,same,12.25
2021_12993824_DIXIE,12993974,2021-07-16 19:15:00,"communities of pulga, philbrook and high lakes area. major pg&e transmission lines damaged and threatened. impacts to pg&e transmission lines could stress power distribution to a large portion of northern california. pg&e hydro electric power facilities, union pacific railroad, sierra pacific timberland, feather river canyon watershed and pacific crest trail threatened.","Communities of Pulga, Philbrook and High Lakes area. Major PG&E transmission lines damaged and threatened. Impacts to PG&E transmission lines could stress power distribution to a large portion of Northern California. PG&E hydro electric power facilities, Union Pacific Railroad, Sierra Pacific timberland, Feather River Canyon Watershed and Pacific Crest Trail threatened.","Communities of Pulga, Philbrook and High Lakes area. Major PG&E transmission lines damaged and threatened. Impacts to PG&E transmission lines could stress power distribution to a large portion of Northern California. PG&E hydro electric power facilities, Union Pacific Railroad, Sierra Pacific timberland, Feather River Canyon Watershed and Pacific Crest Trail threatened. ","Communities of Pulga, Philbrook and High Lakes area. Major PG&E transmission lines damaged and threatened. Impacts to PG&E transmission lines could stress power distribution to a large portion of Northern California. PG&E hydro electric power facilities, Union Pacific Railroad, Sierra Pacific timberland, Feather River Canyon Watershed and Pacific Crest Trail threatened.",Higher heat and consistent winds throughout the week will add to potential fire growth.,"higher heat and consistent winds throughout the week will add to potential fire growth.|communities of pulga, philbrook and high lakes area. major pg&e transmission lines damaged and threatened. impacts to pg&e transmission lines could stress power distribution to a large portion of northern california. pg&e hydro electric power facilities, union pacific railroad, sierra pacific timberland, feather river canyon watershed and pacific crest trail threatened.",0.0,0.0,0.0,"evacuation warning in place for the communities of pulga, philbrook, snaglake, chambers creek, rodgers flat, belden, and high lakes area. evacuation orders: high lakes area, storrie, tobin, rock crest.",7.0,same,same,same,same,same,12.0
2021_12993824_DIXIE,12993944,2021-07-16 20:00:00,"communities of pulga, philbrook and high lakes area. major pg&e transmission lines damaged and threatened. impacts to pg&e transmission lines could stress power distribution to a large portion of northern california. pg&e hydro electric power facilities, union pacific railroad, sierra pacific timberland, feather river canyon watershed and pacific crest trail threatened.","Communities of Pulga, Philbrook and High Lakes area. Major PG&E transmission lines damaged and threatened. Impacts to PG&E transmission lines could stress power distribution to a large portion of Northern California. PG&E hydro electric power facilities, Union Pacific Railroad, Sierra Pacific timberland, Feather River Canyon Watershed and Pacific Crest Trail threatened.","Communities of Pulga, Philbrook and High Lakes area. Major PG&E transmission lines damaged and threatened. Impacts to PG&E transmission lines could stress power distribution to a large portion of Northern California. PG&E hydro electric power facilities, Union Pacific Railroad, Sierra Pacific timberland, Feather River Canyon Watershed and Pacific Crest Trail threatened. ","Communities of Pulga, Philbrook and High Lakes area. Major PG&E transmission lines damaged and threatened. Impacts to PG&E transmission lines could stress power distribution to a large portion of Northern California. PG&E hydro electric power facilities, Union Pacific Railroad, Sierra Pacific timberland, Feather River Canyon Watershed and Pacific Crest Trail threatened.",Higher heat and consistent winds throughout the week will add to potential fire growth.,"higher heat and consistent winds throughout the week will add to potential fire growth.|communities of pulga, philbrook and high lakes area. major pg&e transmission lines damaged and threatened. impacts to pg&e transmission lines could stress power distribution to a large portion of northern california. pg&e hydro electric power facilities, union pacific railroad, sierra pacific timberland, feather river canyon watershed and pacific crest trail threatened.",0.0,0.0,0.0,"evacuation warning in place for the communities of pulga, philbrook, snaglake, chambers creek, rodgers flat, belden, and high lakes area. evacuation orders: high lakes area, storrie, tobin, rock crest.",9.0,same,same,same,same,same,0.75
2021_12993824_DIXIE,12993832,2021-07-17 07:45:00,"communities of pulga, philbrook and high lakes area. major pg&e transmission lines damaged and threatened. impacts to pg&e transmission lines could stress power distribution to a large portion of northern california. pg&e hydro electric power facilities, union pacific railroad, sierra pacific timberland, feather river canyon watershed and pacific crest trail threatened. fire is impacting multiple native american tribal sites.","Communities of Pulga, Philbrook and High Lakes area. Major PG&E transmission lines damaged and threatened. Impacts to PG&E transmission lines could stress power distribution to a large portion of Northern California. PG&E hydro electric power facilities, Union Pacific Railroad, Sierra Pacific timberland, Feather River Canyon Watershed and Pacific Crest Trail threatened. Fire is impacting multiple Native American tribal sites.","Communities of Pulga, Philbrook and High Lakes area. Major PG&E transmission lines damaged and threatened. Impacts to PG&E transmission lines could stress power distribution to a large portion of Northern California. PG&E hydro electric power facilities, Union Pacific Railroad, Sierra Pacific timberland, Feather River Canyon Watershed and Pacific Crest Trail threatened. ","Communities of Pulga, Philbrook and High Lakes area. Major PG&E transmission lines damaged and threatened. Impacts to PG&E transmission lines could stress power distribution to a large portion of Northern California. PG&E hydro electric power facilities, Union Pacific Railroad, Sierra Pacific timberland, Feather River Canyon Watershed and Pacific Crest Trail threatened. Fire is impacting multiple Native American tribal sites.",Higher heat and consistent winds throughout the week will add to potential fire growth.,"communities of pulga, philbrook and high lakes area. major pg&e transmission lines damaged and threatened. impacts to pg&e transmission lines could stress power distribution to a large portion of northern california. pg&e hydro electric power facilities, union pacific railroad, sierra pacific timberland, feather river canyon watershed and pacific crest trail threatened.|higher heat and consistent winds throughout the week will add to potential fire growth.|communities of pulga, philbrook and high lakes area. major pg&e transmission lines damaged and threatened. impacts to pg&e transmission lines could stress power distribution to a large portion of northern california. pg&e hydro electric power facilities, union pacific railroad, sierra pacific timberland, feather river canyon watershed and pacific crest trail threatened. fire is impacting multiple native american tribal sites.",0.0,0.0,0.0,"evacuation warning in place for the communities of pulga, philbrook, snaglake, chambers creek, rodgers flat, belden, and high lakes area. evacuation orders: high lakes area, storrie, tobin, rock crest.",12.0,"communities of pulga, philbrook and high lakes area. major pg&e transmission lines damaged and threatened. impacts to pg&e transmission lines could stress power distribution to a large portion of northern california. pg&e hydro electric power facilities, union pacific railroad, sierra pacific timberland, feather river canyon watershed and pacific crest trail threatened. fire is impacting multiple native american tribal sites.","Communities of Pulga, Philbrook and High Lakes area. Major PG&E transmission lines damaged and threatened. Impacts to PG&E transmission lines could stress power distribution to a large portion of Northern California. PG&E hydro electric power facilities, Union Pacific Railroad, Sierra Pacific timberland, Feather River Canyon Watershed and Pacific Crest Trail threatened. Fire is impacting multiple Native American tribal sites.",same,"Communities of Pulga, Philbrook and High Lakes area. Major PG&E transmission lines damaged and threatened. Impacts to PG&E transmission lines could stress power distribution to a large portion of Northern California. PG&E hydro electric power facilities, Union Pacific Railroad, Sierra Pacific timberland, Feather River Canyon Watershed and Pacific Crest Trail threatened. Fire is impacting multiple Native American tribal sites.",same,11.75
2021_12993824_DIXIE,12994265,2021-07-17 19:30:00,"communities of pulga, philbrook and high lakes area. major pg&e transmission lines damaged and threatened. impacts to pg&e transmission lines could stress power distribution to a large portion of northern california. pg&e hydro electric power facilities, union pacific railroad, sierra pacific timberland, feather river canyon watershed and pacific crest trail threatened. fire is impacting multiple native american tribal sites.","Communities of Pulga, Philbrook and High Lakes area. Major PG&E transmission lines damaged and threatened. Impacts to PG&E transmission lines could stress power distribution to a large portion of Northern California. PG&E hydro electric power facilities, Union Pacific Railroad, Sierra Pacific timberland, Feather River Canyon Watershed and Pacific Crest Trail threatened. Fire is impacting multiple Native American tribal sites.","Communities of Pulga, Philbrook and High Lakes area. Major PG&E transmission lines damaged and threatened. Impacts to PG&E transmission lines could stress power distribution to a large portion of Northern California. PG&E hydro electric power facilities, Union Pacific Railroad, Sierra Pacific timberland, Feather River Canyon Watershed and Pacific Crest Trail threatened. ","Communities of Pulga, Philbrook and High Lakes area. Major PG&E transmission lines damaged and threatened. Impacts to PG&E transmission lines could stress power distribution to a large portion of Northern California. PG&E hydro electric power facilities, Union Pacific Railroad, Sierra Pacific timberland, Feather River Canyon Watershed and Pacific Crest Trail threatened. Fire is impacting multiple Native American tribal sites.",Higher heat and consistent winds throughout the week will add to potential fire growth.,"communities of pulga, philbrook and high lakes area. major pg&e transmission lines damaged and threatened. impacts to pg&e transmission lines could stress power distribution to a large portion of northern california. pg&e hydro electric power facilities, union pacific railroad, sierra pacific timberland, feather river canyon watershed and pacific crest trail threatened.|higher heat and consistent winds throughout the week will add to potential fire growth.|communities of pulga, philbrook and high lakes area. major pg&e transmission lines damaged and threatened. impacts to pg&e transmission lines could stress power distribution to a large portion of northern california. pg&e hydro electric power facilities, union pacific railroad, sierra pacific timberland, feather river canyon watershed and pacific crest trail threatened. fire is impacting multiple native american tribal sites.",,,,"mandatory evacuation orders have been issued for the following areas:high lakes (plumas county)recreational area of plumas county east of the butte/plumas county lineplumas/butte county line, east to the rock creek damincludes both sides of hwy 70 in the areas of rock creek, storrie, and tobin. evacuation warnings are in effect for the following areas:east of the rock creek dam to caribou this includes both sides of hwy 70 in this area and includes the communities of belden and caribou.",12.0,same,same,same,same,same,11.75
2021_12993824_DIXIE,12994117,2021-07-17 20:15:00,"communities of pulga, philbrook and high lakes area. major pg&e transmission lines damaged and threatened. impacts to pg&e transmission lines could stress power distribution to a large portion of northern california. pg&e hydro electric power facilities, union pacific railroad, sierra pacific timberland, feather river canyon watershed and pacific crest trail threatened. fire is impacting multiple native american tribal sites.","Communities of Pulga, Philbrook and High Lakes area. Major PG&E transmission lines damaged and threatened. Impacts to PG&E transmission lines could stress power distribution to a large portion of Northern California. PG&E hydro electric power facilities, Union Pacific Railroad, Sierra Pacific timberland, Feather River Canyon Watershed and Pacific Crest Trail threatened. Fire is impacting multiple Native American tribal sites.","Communities of Pulga, Philbrook and High Lakes area. Major PG&E transmission lines damaged and threatened. Impacts to PG&E transmission lines could stress power distribution to a large portion of Northern California. PG&E hydro electric power facilities, Union Pacific Railroad, Sierra Pacific timberland, Feather River Canyon Watershed and Pacific Crest Trail threatened. ","Communities of Pulga, Philbrook and High Lakes area. Major PG&E transmission lines damaged and threatened. Impacts to PG&E transmission lines could stress power distribution to a large portion of Northern California. PG&E hydro electric power facilities, Union Pacific Railroad, Sierra Pacific timberland, Feather River Canyon Watershed and Pacific Crest Trail threatened. Fire is impacting multiple Native American tribal sites.",Higher heat and consistent winds throughout the week will add to potential fire growth.,"communities of pulga, philbrook and high lakes area. major pg&e transmission lines damaged and threatened. impacts to pg&e transmission lines could stress power distribution to a large portion of northern california. pg&e hydro electric power facilities, union pacific railroad, sierra pacific timberland, feather river canyon watershed and pacific crest trail threatened.|higher heat and consistent winds throughout the week will add to potential fire growth.|communities of pulga, philbrook and high lakes area. major pg&e transmission lines damaged and threatened. impacts to pg&e transmission lines could stress power distribution to a large portion of northern california. pg&e hydro electric power facilities, union pacific railroad, sierra pacific timberland, feather river canyon watershed and pacific crest trail threatened. fire is impacting multiple native american tribal sites.",,,,"mandatory evacuation orders have been issued for the following areas:high lakes (plumas county)recreational area of plumas county east of the butte/plumas county lineplumas/butte county line, east to the rock creek damincludes both sides of hwy 70 in the areas of rock creek, storrie, and tobin. evacuation warnings are in effect for the following areas:east of the rock creek dam to caribou this includes both sides of hwy 70 in this area and includes the communities of belden and caribou.",14.0,same,same,same,same,same,0.75
2021_12993824_DIXIE,12994343,2021-07-18 07:45:00,"communities of pulga, philbrook and high lakes area. major pg&e transmission lines damaged and threatened. impacts to pg&e transmission lines could stress power distribution to a large portion of northern california. pg&e hydro electric power facilities, union pacific railroad, sierra pacific timberland, feather river canyon watershed and pacific crest trail threatened. fire is impacting multiple native american tribal sites.","Communities of Pulga, Philbrook and High Lakes area. Major PG&E transmission lines damaged and threatened. Impacts to PG&E transmission lines could stress power distribution to a large portion of Northern California. PG&E hydro electric power facilities, Union Pacific Railroad, Sierra Pacific timberland, Feather River Canyon Watershed and Pacific Crest Trail threatened. Fire is impacting multiple Native American tribal sites.","Communities of Pulga, Philbrook and High Lakes area. Major PG&E transmission lines damaged and threatened. Impacts to PG&E transmission lines could stress power distribution to a large portion of Northern California. PG&E hydro electric power facilities, Union Pacific Railroad, Sierra Pacific timberland, Feather River Canyon Watershed and Pacific Crest Trail threatened. ","Communities of Pulga, Philbrook and High Lakes area. Major PG&E transmission lines damaged and threatened. Impacts to PG&E transmission lines could stress power distribution to a large portion of Northern California. PG&E hydro electric power facilities, Union Pacific Railroad, Sierra Pacific timberland, Feather River Canyon Watershed and Pacific Crest Trail threatened. Fire is impacting multiple Native American tribal sites.",Higher heat and consistent winds throughout the week will add to potential fire growth.,"communities of pulga, philbrook and high lakes area. major pg&e transmission lines damaged and threatened. impacts to pg&e transmission lines could stress power distribution to a large portion of northern california. pg&e hydro electric power facilities, union pacific railroad, sierra pacific timberland, feather river canyon watershed and pacific crest trail threatened.|higher heat and consistent winds throughout the week will add to potential fire growth.|communities of pulga, philbrook and high lakes area. major pg&e transmission lines damaged and threatened. impacts to pg&e transmission lines could stress power distribution to a large portion of northern california. pg&e hydro electric power facilities, union pacific railroad, sierra pacific timberland, feather river canyon watershed and pacific crest trail threatened. fire is impacting multiple native american tribal sites.",,,,"mandatory evacuation orders have been issued for the following areas:high lakes (plumas county)recreational area of plumas county east of the butte/plumas county lineplumas/butte county line, east to the rock creek damincludes both sides of hwy 70 in the areas of rock creek, storrie, and tobin. evacuation warnings are in effect for the following areas:east of the rock creek dam to caribou this includes both sides of hwy 70 in this area and includes the communities of belden and caribou.",15.0,same,same,same,same,same,11.5
