INCIDENT_ID,Entity,Label
2021_12908560_CALDOR,california,GPE
2021_12908560_CALDOR,native american,PERSON
2021_12908560_CALDOR,california,GPE
2021_12908560_CALDOR,native american,PERSON
2021_12908560_CALDOR,california,GPE
2021_12908560_CALDOR,native american,PERSON
2021_12908560_CALDOR,california,GPE
2021_12908560_CALDOR,american,NORP
2021_12908560_CALDOR,camino cedar groveprivate,PERSON
2021_12908560_CALDOR,sierra pacific industries vineyards,ORG
2021_12908560_CALDOR,el dorado county,GPE
2021_12908560_CALDOR,thousands,CARDINAL
2021_12908560_CALDOR,el dorado,GPE
2021_12908560_CALDOR,el dorado,GPE
2021_12908560_CALDOR,power house,ORG
2021_12908560_CALDOR,california,GPE
2021_12908560_CALDOR,native american,NORP
2021_12908560_CALDOR,camino cedar groveprivate,PERSON
2021_12908560_CALDOR,sierra pacific industries vineyards,ORG
2021_12908560_CALDOR,el dorado county,GPE
2021_12908560_CALDOR,thousands,CARDINAL
2021_12908560_CALDOR,el dorado,GPE
2021_12908560_CALDOR,el dorado,GPE
2021_12908560_CALDOR,power house,ORG
2021_12908560_CALDOR,california,GPE
2021_12908560_CALDOR,native american,NORP
2021_12908560_CALDOR,el dorado county,GPE
2021_12908560_CALDOR,thousands,CARDINAL
2021_12908560_CALDOR,el dorado,GPE
2021_12908560_CALDOR,el dorado,GPE
2021_12908560_CALDOR,power house,ORG
2021_12908560_CALDOR,el dorado,GPE
2021_12908560_CALDOR,resa,PERSON
2021_12908560_CALDOR,el dorado,GPE
2021_12908560_CALDOR,native american,NORP
2021_12908560_CALDOR,foothill yellowlegged frog,ORG
2021_12908560_CALDOR,california,GPE
2021_12908560_CALDOR,sierra nevada,ORG
2021_12908560_CALDOR,sierra nevada,ORG
2021_12908560_CALDOR,sierra pacific industries vineyards,ORG
2021_12908560_CALDOR,el dorado county,GPE
2021_12908560_CALDOR,thousands,CARDINAL
2021_12908560_CALDOR,el dorado,GPE
2021_12908560_CALDOR,el dorado,GPE
2021_12908560_CALDOR,power house,ORG
2021_12908560_CALDOR,el dorado,GPE
2021_12908560_CALDOR,resa,PERSON
2021_12908560_CALDOR,el dorado,GPE
2021_12908560_CALDOR,native american,NORP
2021_12908560_CALDOR,foothill yellowlegged frog,ORG
2021_12908560_CALDOR,california,GPE
2021_12908560_CALDOR,sierra nevada,ORG
2021_12908560_CALDOR,sierra nevada,ORG
2021_12908560_CALDOR,sierra pacific industries vineyards,ORG
2021_12908560_CALDOR,kyburz white hall,PERSON
2021_12908560_CALDOR,indian,NORP
2021_12908560_CALDOR,walt tyler elementary silver,FAC
2021_12908560_CALDOR,el dorado county,GPE
2021_12908560_CALDOR,ridge repeater leek,PERSON
2021_12908560_CALDOR,pioneer,ORG
2021_12908560_CALDOR,dorado,ORG
2021_12908560_CALDOR,el dorado county,GPE
2021_12908560_CALDOR,thousands,CARDINAL
2021_12908560_CALDOR,el dorado,GPE
2021_12908560_CALDOR,el dorado,GPE
2021_12908560_CALDOR,power house,ORG
2021_12908560_CALDOR,el dorado,GPE
2021_12908560_CALDOR,a mile,QUANTITY
2021_12908560_CALDOR,four,CARDINAL
2021_12908560_CALDOR,el dorado,GPE
2021_12908560_CALDOR,over  million dollars,MONEY
2021_12908560_CALDOR,up to a year eid,DATE
2021_12908560_CALDOR,american,NORP
2021_12908560_CALDOR,el dorado county,GPE
2021_12908560_CALDOR,kyburz white hall,PERSON
2021_12908560_CALDOR,indian,NORP
